prev_team,player,role,detail_role,sal,overseas,capped,bat_rate,bowl_rate,ipl_bf,ipl_bb,bat_rate_v,bowl_rate_v,bat_source,reliability_score,src
SRH,Liam Livingstone,Allrounder,OS|All-rounder|Lower,13.0,OS,,0.0064369638823054,0.0224069262264832,358.0,168.0,0.0064369638823054,0.0224069262264832,IPL,0.8,IPL
CSK,Matt Henry,Bowler,OS|Bowler|Powerplay+Middle,2.0,OS,,0.0628326742013218,-0.2899591247678167,10.0,132.0,-0.3291443982816303,-0.2899591247678167,Role Prior,0.61,IPL
DC,Kyle Jamieson,Bowler,OS|All-rounder|Tail,2.0,OS,,0.0531524105772814,-0.0533859377477451,18.0,132.0,-0.3291443982816303,-0.0533859377477451,Role Prior,0.61,IPL
PBKS,Xavier Bartlett,Bowler,OS|Bowler|Powerplay+Middle+Death,0.8,OS,,0.0980239314628449,-0.2663361599703593,21.0,239.0,,,,,IPL
RR,Tushar Deshpande,Bowler,IN|Bowler|Powerplay+Middle+Death,6.5,IN,,0.0843054820614854,-0.0735786589528296,24.0,947.0,,,,,IPL
RR,Ravi Bishnoi,Bowler,IN|Bowler|Middle+Death,7.2,IN,,-0.074896340986852,-0.0880916920068578,52.0,946.0,-0.3291443982816303,-0.0880916920068578,Role Prior,1.0,IPL
LSG,Anrich Nortje,Bowler,OS|Bowler|Powerplay+Middle+Death,2.0,OS,,0.0454663866429277,-0.0828658446527166,38.0,442.0,-0.3291443982816303,-0.0828658446527166,Role Prior,0.87,IPL
CSK,Matthew Short,Allrounder,OS|Batter|Middle,1.5,OS,,0.0116321967255018,-0.0793523756789801,129.0,43.0,0.0116321967255018,0.0408648264314132,IPL,0.61,IPL
PBKS,Lockie Ferguson,Bowler,OS|Bowler|Powerplay+Death,2.0,OS,,0.1297567564998794,-0.0988968182955966,2.0,311.0,,,,,IPL
RR,Kwena Maphaka,Bowler,OS|Bowler|Powerplay+Middle+Death,1.5,OS,,0.1459230694317177,-0.1090939318124537,2.0,66.0,,,,,Role Prior
PBKS,Yash Thakur,Bowler,IN|Bowler|Powerplay+Middle+Death,1.6,IN,,0.1216510655589099,-0.1243649063829614,0.0,472.0,,,,,IPL
KKR,Mustafizur Rahman,Bowler,Bowler,9.2,IN,,0.1106358423142121,0.2017163168351076,2.0,318.0,-0.3291443982816303,0.2017163168351076,Role Prior,0.77,IPL
LSG,Akshat Raghuwanshi,Batter,Batter,2.2,IN,,0.0610233877267349,0.0530082846589715,25.0,0.0,0.0849680390591112,,Role Prior,0.0,Role Prior
KKR,Tim Seifert,WK-Batter,WK-Batter,1.5,IN,,-0.0614281082072897,0.0530082846589715,18.0,0.0,0.1916936691961042,,T20I,0.75,T20I
GT,Glenn Phillips,Allrounder,OS|All-rounder|Middle,2.0,OS,,0.0105882676080537,0.0986042790211018,76.0,18.0,,,,,Role Prior
MI,Mitchell Santner,Allrounder,OS|All-rounder|Lower,2.0,OS,,0.0015762888998749,-0.0604167431500164,73.0,447.0,,,,,IPL
CSK,Prashant Veer,Allrounder,IN|All-rounder|Lower,14.2,IN,,0.1587556259676089,-0.0670760733548245,48.0,12.0,0.0986718399080061,0.0983263429198356,Role Prior + SMAT,0.28,Role Prior + SMAT
RR,Shimron Hetmyer,Batter,OS|Batter|Middle,11.0,OS,,-0.0257220125388091,0.0530082846589715,499.0,0.0,,,,,IPL
RCB,Abhinandan Singh,Bowler,IN|Bowler|Powerplay+Middle+Death,0.3,IN,,0.1216510655589099,-0.2302059528425393,0.0,58.0,,,,,Role Prior
MI,Quinton de Kock,WK-Batter,OS|WK-Batter|Opener,1.0,OS,,0.0019891903353996,0.0530082846589715,486.0,0.0,0.0019891903353996,,IPL,0.91,IPL
MI,Robin Minz,WK-Batter,IN|WK-Batter|Lower,0.65,IN,,0.02480821961838,0.0530082846589715,19.0,0.0,,,,,Role Prior
KKR,Ramandeep Singh,Allrounder,IN|All-rounder|Lower,4.0,IN,,0.0762945544066409,0.0319806458226618,165.0,20.0,,,,,IPL
LSG,Manimaran Siddharth,Bowler,IN|Bowler|Middle+Death,0.75,IN,,0.1216510655589099,0.0124338877826604,0.0,189.0,,,,,IPL
SRH,Harshal Patel,Bowler,IN|Bowler|Middle+Death,8.0,IN,,-0.081374820925387,0.0242705373025267,60.0,908.0,,,,,IPL
MI,Hardik Pandya,Allrounder,IN|All-rounder|Middle,16.35,IN,,0.0666462717911597,-0.1163790920122655,648.0,706.0,,,,,IPL
RR,Sandeep Sharma,Bowler,IN|Bowler|Powerplay+Middle+Death,4.0,IN,,0.0999615762769214,0.0445335054386464,11.0,828.0,,,,,IPL
GT,Nishant Sindhu,Allrounder,IN|All-rounder|Middle,0.3,IN,,0.0921542151245074,0.0530082846589715,25.0,0.0,,,,,Role Prior
KKR,Rahul Tripathi,Batter,IN|Batter|Top,0.75,IN,,-0.0182144339434175,0.0530082846589715,385.0,0.0,-0.0182144339434176,,IPL,0.82,IPL
DC,Mukesh Kumar,Bowler,IN|Bowler|Powerplay+Middle+Death,8.0,IN,,0.0563052300302395,-0.0387226127758239,18.0,819.0,,,,,IPL
DC,Abishek Porel,WK-Batter,WK-Batter,4.0,IN,,0.0056963382156679,0.0530082846589715,480.0,0.0,,,,,IPL
MI,Deepak Chahar,Bowler,IN|Bowler|Powerplay+Middle+Death,9.25,IN,,0.1074167183509827,0.0380791731740207,34.0,668.0,,,,,IPL
DC,Sahil Parakh,Batter,IN|Batter|Opener,0.3,IN,,0.0426979736753299,0.0530082846589715,8.0,0.0,0.1432595163862461,,Role Prior,0.0,Role Prior
GT,Ishant Sharma,Bowler,IN|Bowler|Powerplay+Middle+Death,0.75,IN,,0.0852381112579224,0.0685802261906037,8.0,424.0,,,,,IPL
DC,Karun Nair,Batter,IN|Batter|Middle,0.5,IN,,0.0771969439795232,0.0530082846589715,133.0,0.0,,,,,IPL
LSG,Rishabh Pant,WK-Batter,IN|WK-Batter|Top,27.0,IN,,0.1589634879428126,0.0530082846589715,670.0,0.0,,,,,IPL
MI,Danish Malewar,Batter,IN|Bowler|unspec,0.3,IN,,-0.0225781723073946,0.0530082846589715,5.0,0.0,0.1432595163862461,,Role Prior,0.0,Role Prior
LSG,Wanindu Hasaranga,Allrounder,OS|Bowler|Middle,2.0,OS,,-0.0209807532025928,0.0174752526574984,23.0,270.0,0.1349002183759162,0.0174752526574984,T20I,0.72,IPL
KKR,Rachin Ravindra,Allrounder,OS|Batter|Opener,2.0,OS,,0.1003843347674503,0.0758851247468866,287.0,12.0,0.1003843347674503,0.0616493664401802,IPL,0.74,IPL
MI,Trent Boult,Bowler,OS|Bowler|Powerplay+Middle+Death,12.5,OS,,0.0536505130584687,0.1714669006136692,37.0,981.0,,,,,IPL
SRH,Jaydev Unadkat,Bowler,IN|Bowler|Powerplay+Middle+Death,1.0,IN,,0.0625890590200986,0.0583125438757599,36.0,455.0,,,,,IPL
GT,Rahul Tewatia,Allrounder,IN|All-rounder|Lower,4.0,IN,,0.0424718179799266,0.0661041203676322,315.0,13.0,,,,,IPL
RCB,Yash Dayal,Bowler,IN|Bowler|Powerplay+Middle+Death,5.0,IN,,0.0611805466439725,0.0551665723213531,8.0,686.0,,,,,IPL
CSK,Shreyas Gopal,Bowler,IN|Bowler|Middle,0.3,IN,,0.1216510655589099,0.0472704778863003,0.0,42.0,,,,,Role Prior
DC,Ben Duckett,Batter,OS|Batter|Opener,2.0,OS,,0.1412101491801293,,,,0.1412101491801293,,T20I,0.46,T20I
GT,Luke Wood,Bowler,OS|Bowler|Powerplay,0.75,OS,,0.1338696612068011,-0.0931845721499414,3.0,37.0,-0.3291443982816303,0.051752177180865,Role Prior,0.45,Role Prior
KKR,Umran Malik,Bowler,IN|Bowler|Middle+Death,0.75,IN,,0.1351252597480282,-0.0475240705103446,8.0,126.0,,,,,IPL
MI,Mayank Rawat,Batter,IN|Batter|Lower,0.3,IN,,0.0968323681930689,0.0697944128253414,,,0.0968323681930689,0.0697944128253414,Role Prior + SMAT,0.24,Role Prior + SMAT
LSG,Matthew Breetzke,Batter,OS|Batter|unspec,0.75,OS,,0.0942453535334826,0.0530082846589715,12.0,0.0,,,,,Role Prior
,RS Ambrish,Allrounder,,,IN,UNCAPPED,0.1212247809667457,0.0697944128253414,,,0.1212247809667457,0.0697944128253414,Role Prior,,Role Prior
,Will Sutherland,Allrounder,,,OS,CAPPED,0.1212247809667457,0.0697944128253414,,,0.1212247809667457,0.0697944128253414,Role Prior,,Role Prior
,Sanvir Singh,Allrounder,,,IN,UNCAPPED,0.0731976177093798,0.0530082846589715,21.0,0.0,0.0685965106148498,0.0697472763505181,Role Prior + SMAT,0.36,Role Prior + SMAT
,Spencer Johnson,Bowler,,,OS,CAPPED,0.0926130026268623,-0.1167838575748108,11.0,164.0,-0.3291443982816303,-0.1167838575748108,Role Prior,0.64,IPL
,Jamie Smith,WK-Batter,,,OS,CAPPED,0.1584250778940718,,,,0.1584250778940718,,T20I,0.36,T20I
,Deepak Hooda,Allrounder,,,IN,CAPPED,-0.0946670863140437,-0.0170379211912841,236.0,30.0,-0.0946670863140437,0.109754511569231,IPL,0.7,IPL
,Swastik Chikara,Batter,,,IN,UNCAPPED,0.1342022615949562,,,,0.1342022615949562,,Role Prior,0.0,Role Prior
,Chama V Milind,Bowler,,,IN,UNCAPPED,-0.253939941610228,0.1623723185839841,,,-0.253939941610228,0.1623723185839841,Role Prior,0.34,Role Prior
,Ritik Tada,Allrounder,,,IN,UNCAPPED,0.1212247809667457,0.0697944128253414,,,0.1212247809667457,0.0697944128253414,Role Prior,,Role Prior
,Siddarth Yadav,Allrounder,,,IN,UNCAPPED,0.0979814514545726,0.0697944128253414,,,0.0979814514545726,0.0697944128253414,Role Prior + SMAT,0.3,Role Prior + SMAT
,Macneil Noronha,Allrounder,,,IN,UNCAPPED,0.1212247809667457,0.0697944128253414,,,0.1212247809667457,0.0697944128253414,Role Prior,,Role Prior
,Money Grewal,Bowler,,,IN,UNCAPPED,-0.253939941610228,0.156542315570694,,,-0.253939941610228,0.156542315570694,Role Prior,,Role Prior
,Mayank Dagar,Allrounder,,,IN,UNCAPPED,0.1166411363126231,-0.0470177163553822,1.0,137.0,-0.3466770843946901,-0.0470177163553822,Role Prior + SMAT,0.61,IPL
,Riley Meredith,Bowler,,,OS,CAPPED,0.1138450079005799,0.0135431685105364,2.0,119.0,-0.3291443982816303,0.0135431685105364,Role Prior,0.6,IPL
,Richard Gleeson,Bowler,,,OS,CAPPED,0.1165211349571707,-0.025173439042068,2.0,69.0,-0.3291443982816303,0.0965650443946324,Role Prior,,Role Prior
,Murugan Ashwin,Bowler,,,IN,UNCAPPED,0.1216510655589099,-0.0364328743116523,0.0,25.0,-0.253939941610228,0.1598213196340097,Role Prior,0.33,Role Prior
,Manan Vohra,Batter,,,IN,UNCAPPED,0.104350353264217,0.0530082846589715,11.0,0.0,0.0912720797206516,,Role Prior + SMAT,0.35,Role Prior + SMAT
,Salman Nizar,Batter,,,IN,UNCAPPED,0.1259830512474575,,,,0.1259830512474575,,Role Prior + SMAT,0.3,Role Prior + SMAT
,Michael Bracewell,Allrounder,,,OS,CAPPED,0.0945364651621552,0.1333944205272264,47.0,66.0,0.0985492098592545,0.0526593562543377,T20I,0.61,IPL
,Akash Madhwal,Bowler,,,IN,UNCAPPED,0.0857151433993859,0.0159872176977894,14.0,359.0,-0.3291443982816303,0.0159872176977894,Role Prior,0.8,IPL
,Ruchit Ahir,WK-Batter,,,IN,UNCAPPED,0.1450355359387953,,,,0.1450355359387953,,Role Prior + SMAT,0.29,Role Prior + SMAT
,Kamlesh Nagarkoti,Allrounder,,,IN,UNCAPPED,0.1212247809667457,0.0620475547380927,,,0.1212247809667457,0.0620475547380927,Role Prior,0.34,Role Prior
,RS Hangargekar,Allrounder,,,IN,UNCAPPED,0.1212247809667457,0.06852565731199,,,0.1212247809667457,0.06852565731199,Role Prior,0.28,Role Prior
,Atharva Taide,Batter,,,IN,UNCAPPED,0.1261764133860062,0.0397845684626711,177.0,1.0,0.1261764133860062,,IPL,0.65,IPL
,Jake Fraser-McGurk,Batter,,,OS,CAPPED,0.1158017680233458,0.0530082846589715,193.0,0.0,0.1158017680233458,,IPL,0.66,IPL
,Manisankar Murasingh,Allrounder,,,IN,UNCAPPED,0.1317429488340269,0.0707849084575975,,,0.1317429488340269,0.0707849084575975,Role Prior + SMAT,0.32,Role Prior + SMAT
,Izaz Sawariya,Bowler,,,IN,UNCAPPED,-0.253939941610228,0.156542315570694,,,-0.253939941610228,0.156542315570694,Role Prior,,Role Prior
,Jikku Bright,Bowler,,,IN,UNCAPPED,-0.253939941610228,0.156542315570694,,,-0.253939941610228,0.156542315570694,Role Prior,,Role Prior
,Ayush Vartak,Allrounder,,,IN,UNCAPPED,0.1212247809667457,0.0697944128253414,,,0.1212247809667457,0.0697944128253414,Role Prior,,Role Prior
,Utkarsh Singh,Allrounder,,,IN,UNCAPPED,0.1145482091416777,0.0697944128253414,,,0.1145482091416777,0.0697944128253414,Role Prior + SMAT,0.26,Role Prior + SMAT
,Karan Lal,Allrounder,,,IN,UNCAPPED,0.1583389124745038,0.0723434796554377,,,0.1583389124745038,0.0723434796554377,Role Prior + SMAT,0.32,Role Prior + SMAT
,Daniel Lategan,Batter,,,OS,UNCAPPED,0.1342022615949562,,,,0.1342022615949562,,Role Prior,0.0,Role Prior
,Nathan Smith,Allrounder,,,OS,CAPPED,0.1212247809667457,0.0697944128253414,,,0.1212247809667457,0.0697944128253414,Role Prior,,Role Prior
,Chintal Gandhi,Bowler,,,IN,UNCAPPED,-0.2418804000636766,0.156542315570694,,,-0.2418804000636766,0.156542315570694,Role Prior + SMAT,0.29,Role Prior + SMAT
,Irfan Umair,Bowler,,,IN,UNCAPPED,-0.253939941610228,0.156542315570694,,,-0.253939941610228,0.156542315570694,Role Prior,,Role Prior
,Connor Esterhuizen,WK-Batter,,,OS,UNCAPPED,0.1205175350921756,,,,0.1205175350921756,,Role Prior,0.0,Role Prior
,Tanay Thyagarajan,Allrounder,,,IN,UNCAPPED,0.0992251270959426,0.0847956972830213,,,0.0992251270959426,0.0847956972830213,Role Prior + SMAT,0.33,Role Prior + SMAT
,Dheeraj Kumar,Batter,,,IN,UNCAPPED,0.1342022615949562,,,,0.1342022615949562,,Role Prior,0.0,Role Prior
,Jhye Richardson,Bowler,,,OS,CAPPED,0.1080434582110229,0.0015208875105989,2.0,24.0,-0.3291443982816303,0.0965650443946324,Role Prior,,Role Prior
,Alzarri Joseph,Bowler,,,OS,CAPPED,0.1038356046802758,-0.0607742390066841,12.0,202.0,0.120574643387331,-0.0607742390066841,T20I,0.67,IPL
,Taskin Ahmed,Bowler,,,OS,CAPPED,0.1132985074816637,0.0840912906899385,,,0.1132985074816637,0.0840912906899385,T20I,0.7,T20I
,Dan Lawrence,Allrounder,,,OS,CAPPED,0.1212247809667457,0.0697944128253414,,,0.1212247809667457,0.0697944128253414,Role Prior,,Role Prior
,Mohit Rathee,Bowler,,,IN,UNCAPPED,0.1173850778956773,0.0140397837374108,2.0,12.0,-0.3291443982816303,0.0851486342804605,Role Prior,0.27,Role Prior
,KC Cariappa,Bowler,,,IN,UNCAPPED,-0.2111905834394477,0.1722806249203932,,,-0.2111905834394477,0.1722806249203932,Role Prior + SMAT,0.31,Role Prior + SMAT
,Tejas Baroka,Bowler,,,IN,UNCAPPED,-0.253939941610228,0.156542315570694,,,-0.253939941610228,0.156542315570694,Role Prior,,Role Prior
,KM Asif,Bowler,,,IN,UNCAPPED,0.1158050825039214,0.0038684658847333,2.0,85.0,-0.3291443982816303,0.1026964707161207,Role Prior,0.31,Role Prior
,Waqar Salamkheil,Bowler,,,OS,CAPPED,-0.253939941610228,0.156542315570694,,,-0.253939941610228,0.156542315570694,Role Prior,,Role Prior
,Chetan Sakariya,Bowler,,,IN,CAPPED,0.1087790821018339,-0.0526091052582171,6.0,67.0,-0.3291443982816303,0.069876175346172,Role Prior,0.3,Role Prior
,Dasun Shanaka,Allrounder,,,OS,CAPPED,0.0906181393932936,0.0530082846589715,37.0,0.0,0.1681570782957215,0.0562452261489566,T20I,0.69,T20I
,Daryl Mitchell,Allrounder,,,OS,CAPPED,0.1226104764150665,-0.0252624955160552,223.0,36.0,0.1226104764150665,0.109754511569231,IPL,0.69,IPL
,Sean Abbott,Allrounder,,,OS,CAPPED,0.1212247809667457,0.0480963171245352,,,0.1212247809667457,0.0480963171245352,Role Prior,0.6,Role Prior
,Sediqullah Atal,Batter,,,OS,CAPPED,0.1193430384952901,0.0530082846589715,16.0,0.0,0.1337831500921117,,T20I,0.66,T20I
,Kumar Kartikeya,Bowler,,,IN,UNCAPPED,0.0804734122034939,-0.0316500178576534,12.0,204.0,-0.3291443982816303,-0.0316500178576534,Role Prior,0.67,IPL
,Karn Sharma,Bowler,,,IN,UNCAPPED,0.0960998363154464,0.0118791159763285,21.0,363.0,-0.3533137974926403,0.0118791159763285,Role Prior + SMAT,0.8,IPL
,Shivam Shukla,Bowler,,,IN,UNCAPPED,-0.253939941610228,0.1645520680027811,,,-0.253939941610228,0.1645520680027811,Role Prior,0.33,Role Prior
,Wahidullah Zadran,Bowler,,,OS,UNCAPPED,-0.253939941610228,0.156542315570694,,,-0.253939941610228,0.156542315570694,Role Prior,,Role Prior
,Simarjeet Singh,Bowler,,,IN,UNCAPPED,0.0523790355101265,-0.0164075635853532,7.0,133.0,-0.3455159267258916,-0.0164075635853532,Role Prior + SMAT,0.61,IPL
,Raj Limbani,Bowler,,,IN,UNCAPPED,-0.253939941610228,0.1411903175963987,,,-0.253939941610228,0.1411903175963987,Role Prior,0.28,Role Prior
,Tushar Raheja,WK-Batter,,,IN,UNCAPPED,0.1322492087942918,,,,0.1322492087942918,,Role Prior + SMAT,0.25,Role Prior + SMAT
,Vansh Bedi,WK-Batter,,,IN,UNCAPPED,0.1205175350921756,,,,0.1205175350921756,,Role Prior,0.0,Role Prior
,Tanush Kotian,Allrounder,,,IN,UNCAPPED,0.0838285433008236,0.0530082846589715,31.0,0.0,0.1432595163862461,0.0825454543780975,Role Prior,0.34,Role Prior
,Eden Apple Tom,Allrounder,,,IN,UNCAPPED,0.1212247809667457,0.0697944128253414,,,0.1212247809667457,0.0697944128253414,Role Prior,,Role Prior
,Mahipal Lomror,Allrounder,,,IN,UNCAPPED,0.088842235264997,-0.016214339353067,165.0,18.0,0.088842235264997,0.109754511569231,IPL,0.64,IPL
,Vijay Shankar,Allrounder,,,IN,UNCAPPED,0.1376069055597602,0.0530082846589715,351.0,0.0,0.1376069055597602,0.0697944128253414,IPL,0.79,IPL
,Aarya Desai,Batter,,,IN,UNCAPPED,0.1064296442530619,,,,0.1064296442530619,,Role Prior + SMAT,0.34,Role Prior + SMAT
,Yash Dhull,Batter,,,IN,UNCAPPED,0.0529713523577515,0.0530082846589715,23.0,0.0,0.1083806468435793,,Role Prior + SMAT,0.36,Role Prior + SMAT
,Abhinav Manohar,Batter,,,IN,UNCAPPED,-0.0428640251479981,0.0530082846589715,160.0,0.0,-0.0428640251479981,,IPL,0.63,IPL
,Abhinav Tejrana,Batter,,,IN,UNCAPPED,0.1340293927970564,,,,0.1340293927970564,,Role Prior + SMAT,0.26,Role Prior + SMAT
,Anmolpreet Singh,Batter,,,IN,UNCAPPED,0.050628118437522,0.0530082846589715,88.0,0.0,0.1218030309231966,,Role Prior + SMAT,0.35,Role Prior + SMAT
,Mujeeb Ur Rahman,Bowler,,,OS,CAPPED,0.1216510655589099,-0.017926703799001,0.0,12.0,-0.253939941610228,0.0880870499750496,Role Prior,0.7,Role Prior
,Maheesh Theekshana,Bowler,,,OS,CAPPED,-0.0049850397987038,-0.0777751991237702,27.0,668.0,0.0935634116378391,-0.0777751991237702,T20I,1.0,IPL
,Fazalhaq Farooqi,Bowler,,,OS,CAPPED,0.1007371852509576,-0.2188102976530136,7.0,182.0,-0.3291443982816303,-0.2188102976530136,Role Prior,0.65,IPL
,Gerald Coetzee,Bowler,,,OS,CAPPED,0.0192295043662218,-0.0355794211423275,33.0,274.0,0.1377070632847372,-0.0355794211423275,T20I,0.73,IPL
,Rahmanullah Gurbaz,WK-Batter,,,OS,CAPPED,-0.0691620284849892,0.0530082846589715,269.0,0.0,-0.0691620284849892,,IPL,0.72,IPL
,Jonny Bairstow,WK-Batter,,,OS,CAPPED,0.169180886058483,0.0530082846589715,241.0,0.0,0.169180886058483,,IPL,0.7,IPL
